Vout,ronp,rons,vfp,vfs,sw_p1,sw_p2,sw_p3,sw_p4,cond_p1,cond_p2,cond_p3,cond_p4,sw_s1,sw_s2,sw_s3,sw_s4,cond_s1,cond_s2,cond_s3,cond_s4,core_t1
400.0,100.183,74.854,5.725,5.554,1.6297097913808574,1.6296324551422905,1.6296324551422905,1.6297097913808574,2.757111499150398,2.756772176562348,2.756772176562348,2.757111499150398,1.7365100745272677,1.736378377036933,1.736378377036933,1.7365100745272677,0.4614771410534062,0.4614902948449044,0.4614902948449044,0.4614771410534062,20.03752773990002
400.0,100.429,15.149,3.159,4.013,1.6308387220745246,1.6307617885397825,1.6307617885397825,1.6308387220744522,2.7514704084943893,2.75113271034391,2.75113271034391,2.751470410385952,1.7295569129513886,1.7293917129827243,1.7293917129827243,1.7295569129513886,0.4602358053481744,0.4603039562927587,0.4603039562927587,0.4602358053481744,19.998688540598135
400.0,100.613,50.767,5.911,6.195,1.630082428271434,1.6300051648136888,1.6300051648136888,1.630082428271434,2.7552697793607304,2.7549305449820745,2.7549305449820745,2.7552697793607304,1.7337475472198598,1.7336142444200189,1.7336142444200189,1.7337475472198598,0.4610883098124103,0.4611056371629147,0.4611056371629147,0.4610883098124103,20.021839941643016
400.0,100.644,13.804,4.241,2.713,1.630813002526782,1.630735098026196,1.630735098026196,1.630813002526782,2.7516369669196465,2.751292793067567,2.751292793067567,2.7516369669196465,1.7295980732139824,1.7294258893442251,1.7294258893442251,1.7295980732139824,0.4602687677756945,0.4603475309933129,0.4603475309933129,0.4602687677756945,19.997804974336628
400.0,100.972,46.97,5.329,3.969,1.6300701425057118,1.6299928237600545,1.6299928237600545,1.6300701425057118,2.7553936114381243,2.7550540868078457,2.7550540868078457,2.7553936114381243,1.7335072075376063,1.733373098694786,1.733373098694786,1.7335072075376063,0.4611185097217119,0.4611371925465782,0.4611371925465782,0.4611185097217119,20.019356490420584
400.0,100.973,37.765,4.045,2.709,1.6302524852975748,1.6301760106155172,1.6301760106155172,1.6302524852975748,2.7544746371093725,2.754140263210727,2.754140263210727,2.7544746371093725,1.7323447483987355,1.7322086898266904,1.7322086898266904,1.7323447483987355,0.4609178345122014,0.460940211013302,0.460940211013302,0.4609178345122014,20.013370120849064
400.0,101.318,46.087,2.781,5.376,1.6300020257526715,1.629924761679778,1.629924761679778,1.6300020257526715,2.7557851574244867,2.7554462700117623,2.7554462700117623,2.7557851574244867,1.7336292616047904,1.7334949751339073,1.7334949751339073,1.7336292616047904,0.461208277443621,0.4612270753550736,0.4612270753550736,0.461208277443621,20.0187697976588
400.0,101.735,81.368,3.847,6.228,1.6292051353157888,1.629127435167387,1.629127435167387,1.6292051353157888,2.760029358795033,2.7596885345679927,2.7596885345679927,2.760029358795033,1.7383788202392632,1.7382463403556696,1.7382463403556696,1.7383788202392632,0.4621098514892407,0.4621228433901212,0.4621228433901212,0.4621098514892407,20.04170602878727
400.0,101.916,82.591,6.182,6.466,1.6291374294901029,1.6290596803527286,1.6290596803527286,1.6291374294901029,2.7604184835460512,2.760077493359402,2.760077493359402,2.7604184835460512,1.7386557775397755,1.7385231211659802,1.7385231211659802,1.7386557775397755,0.4621937077657577,0.4622069007943273,0.4622069007943273,0.4621937077657577,20.042494818968212
400.0,102.304,53.908,2.818,6.344,1.6296070320014393,1.6295290029666352,1.6295290029666352,1.6296070320014393,2.758013630995131,2.757670590421647,2.757670590421647,2.758013630995131,1.7352790451299658,1.7351455311573911,1.7351455311573911,1.7352790451299658,0.461690499210484,0.4617069908298967,0.4617069908298967,0.461690499210484,20.023818028446858
400.0,103.253,10.301,5.422,4.753,1.6302418711462026,1.63016355534896,1.63016355534896,1.6302418711462026,2.754931101817352,2.754586111298344,2.754586111298344,2.754931101817352,1.7310838466705003,1.7308745466187974,1.7308745466187974,1.7310838466705003,0.4609851884071106,0.4611203588188174,0.4611203588188174,0.4609851884071106,19.99542715256436
400.0,103.272,87.029,3.403,4.138,1.62872412262344,1.6286456735474597,1.6286456735474597,1.62872412262344,2.7628507732448613,2.7625065626349268,2.7625065626349268,2.7628507732448613,1.740132820142981,1.7399997552959214,1.7399997552959214,1.740132820142981,0.4627208785516501,0.4627337354455645,0.4627337354455645,0.4627208785516501,20.045329272778883
400.0,103.419,43.771,4.374,5.085,1.6295371985929004,1.629459136217701,1.629459136217701,1.6295371985929004,2.7585851263993786,2.75824214773703,2.75824214773703,2.7585851263993786,1.734738941837325,1.734602846334122,1.734602846334122,1.734738941837325,0.4618206710525292,0.4618414193194757,0.4618414193194757,0.4618206710525292,20.017180269494247
400.0,104.003,51.566,5.236,2.859,1.6292418832862818,1.629163955255805,1.629163955255805,1.6292418832862818,2.7602354093121946,2.7598937441983287,2.7598937441983287,2.7602354093121946,1.7361179947608372,1.735983437517273,1.735983437517273,1.7361179947608372,0.4621767868554556,0.4621942354446364,0.4621942354446364,0.4621767868554556,20.022226467579635
400.0,104.116,39.828,6.288,6.0,1.629445512092773,1.6293679409063309,1.6293679409063309,1.629445512092773,2.7591845716633494,2.7588451617464806,2.7588451617464806,2.7591845716633494,1.7347053695269867,1.7345687446130826,1.7345687446130826,1.7347053695269867,0.4619549426275737,0.4619763653250731,0.4619763653250731,0.4619549426275737,20.01458866600423
400.0,104.407,97.124,3.894,3.228,1.6282550451876707,1.6281763595106145,1.6281763595106145,1.6282550451876707,2.765557491729298,2.7652125839420534,2.7652125839420534,2.765557491729298,1.74218480668667,1.742051470386786,1.742051470386786,1.74218480668667,0.4633036904730678,0.4633154423082536,0.4633154423082536,0.4633036904730678,20.051854536832334
400.0,104.524,44.707,5.292,5.95,1.629250666210471,1.6291726357001544,1.6291726357001544,1.629250666210471,2.7602811469822,2.759939126119193,2.759939126119193,2.7602811469822,1.7355969815074246,1.7354612706032628,1.7354612706032628,1.7355969815074246,0.462191324626533,0.462210756583463,0.462210756583463,0.462191324626533,20.01774522107219
400.0,104.792,36.588,3.316,5.009,1.629345573231406,1.6292677265956026,1.6292677265956026,1.629345573231406,2.759831781067831,2.759491085525505,2.759491085525505,2.759831781067831,1.7347481217969165,1.7346100627980927,1.7346100627980927,1.7347481217969165,0.4620975669459224,0.4621209449300695,0.4621209449300695,0.4620975669459224,20.012455503029276
400.0,104.814,86.942,6.419,3.27,1.628355409439148,1.628276397906641,1.628276397906641,1.628355409439148,2.765092167778872,2.7647446409144605,2.7647446409144605,2.765092167778872,1.741161726412648,1.741028449481259,1.741028449481259,1.741161726412648,0.4632099411709949,0.4632222561340499,0.4632222561340499,0.4632099411709949,20.04520994323249
400.0,104.892,61.637,3.941,4.742,1.6288292645427176,1.6287514707596078,1.6287514707596078,1.6288292645425118,2.7625690058617973,2.7622290554089592,2.7622290554089592,2.7625690058610526,1.7379939856743365,1.7378597869719907,1.7378597869719907,1.7379939856743365,0.4626793873965835,0.4626949864072361,0.4626949864072361,0.4626793873965835,20.02874198084672
400.0,104.966,55.402,6.006,6.475,1.62893368152198,1.6288556375435548,1.6288556375435548,1.62893368152198,2.7620304508700912,2.761688585664724,2.761688585664724,2.7620304508700912,1.7372512207102933,1.737116416245905,1.737116416245905,1.7372512207102933,0.4625658999132756,0.4625829931829026,0.4625829931829026,0.4625658999132756,20.024683007667274
