Vout,ronp,rons,vfp,vfs,sw_p1,sw_p2,sw_p3,sw_p4,cond_p1,cond_p2,cond_p3,cond_p4,sw_s1,sw_s2,sw_s3,sw_s4,cond_s1,cond_s2,cond_s3,cond_s4,core_t1
400.0,110.443,32.6,3.413,3.005,1.628060215343602,1.6279810258750662,1.6279810258750662,1.628060215343602,2.7676548692430587,2.7673085446575367,2.7673085446575367,2.7676548692430587,1.738036568056004,1.737894871739913,1.737894871739913,1.738036568056004,0.4638056335350424,0.4638320307511053,0.4638320307511053,0.4638056335350424,20.009636525357053
400.0,110.544,48.017,4.417,4.824,1.6277374212571971,1.627658058906134,1.627658058906134,1.6277374212571971,2.769417475932724,2.7690701545823115,2.7690701545823115,2.769417475932724,1.7400689141398782,1.7399307167586602,1.7399307167586602,1.7400689141398782,0.4641803462463096,0.4642002756773979,0.4642002756773979,0.4641803462463096,20.01965478444032
400.0,111.206,18.859,3.28,3.377,1.6281415977124252,1.628061982306651,1.628061982306651,1.6281415977124252,2.7673270872968008,2.7669771490163555,2.7669771490163555,2.7673270872968008,1.737073462723818,1.7369157722738038,1.7369157722738038,1.737073462723818,0.4637351307286822,0.4637857873352457,0.4637857873352457,0.4637351307286822,20.000674461308137
400.0,111.541,31.268,2.674,4.226,1.6278242400148863,1.62774488504854,1.62774488504854,1.6278242400148863,2.7691334357155006,2.768786693532391,2.768786693532391,2.7691334357155006,1.738609710459602,1.7384660911836316,1.7384660911836316,1.738609710459602,0.4641261108771492,0.4641548494879763,0.4641548494879763,0.4641261108771492,20.008727897867296
400.0,111.816,93.082,5.958,4.884,1.6265737555351745,1.6264936142493798,1.6264936142493798,1.6265737555351745,2.776053766606715,2.775703068444074,2.775703068444074,2.776053766606715,1.7466965701260762,1.7465605191207063,1.7465605191207063,1.7466965701260762,0.4655889333673595,0.4656014112871875,0.4656014112871875,0.4655889333673595,20.048918952804065
400.0,112.196,66.762,4.96,4.425,1.626985027219842,1.6269050879956852,1.6269050879956852,1.626985027219842,2.7738301182935747,2.7734801816923214,2.7734801816923214,2.7738301182935747,1.7435821343766826,1.743445579301077,1.743445579301077,1.7435821343766826,0.465126501207444,0.4651416019182203,0.4651416019182203,0.465126501207444,20.03177843927523
400.0,112.241,82.071,6.012,3.201,1.6266828701768754,1.6266027563088172,1.6266027563088172,1.6266828701768754,2.775517434883055,2.7751669012787508,2.7751669012787508,2.775517434883055,1.7455738517759467,1.7454374102261845,1.7454374102261845,1.7455738517759467,0.4654809440839566,0.4654946471520613,0.4654946471520613,0.4654809440839566,20.041736238064605
400.0,112.272,30.11,2.96,3.163,1.6276697654247252,1.627590483684108,1.627590483684108,1.6276697654247252,2.770075668586727,2.769729358936427,2.769729358936427,2.770075668586727,1.7389544306762938,1.7388104050171234,1.7388104050171234,1.7389544306762938,0.464333939290598,0.4643631387783396,0.4643631387783396,0.464333939290598,20.0079445690006
400.0,112.494,70.565,4.399,6.346,1.6268419146383024,1.6267617999878727,1.6267617999878727,1.6268419146383024,2.774673942801348,2.774323124625408,2.774323124625408,2.774673942801348,1.7442717567523864,1.7441349430970388,1.7441349430970388,1.7442717567523864,0.4653066830017818,0.4653217492735481,0.4653217492735481,0.4653066830017818,20.03423941926701
400.0,112.608,47.222,5.09,2.768,1.6272611818808849,1.6271814265488926,1.6271814265488926,1.6272611818808849,2.772375409818372,2.772026392421615,2.772026392421615,2.772375409818372,1.7413622135268447,1.741223881956958,1.741223881956958,1.7413622135268447,0.4648244675569678,0.4648436772485404,0.4648436772485404,0.4648244675569678,20.019053622296425
400.0,112.795,86.492,2.682,3.733,1.626470238600782,1.6263896018640285,1.6263896018640285,1.626470238600782,2.7768182649109647,2.776465040569797,2.776465040569797,2.7768182649109647,1.746520968015265,1.746384355859056,1.746384355859056,1.746520968015265,0.4657579252069453,0.4657710930935926,0.4657710930935926,0.4657579252069453,20.044592712249088
400.0,112.818,62.167,2.954,2.967,1.6269253045704302,1.6268451574388345,1.6268451574388345,1.6269253045704302,2.7742642395176427,2.7739130816747104,2.7739130816747104,2.7742642395176427,1.7434184532792378,1.7432816585951236,1.7432816585951236,1.7434184532792378,0.4652244037835141,0.4652398901766807,0.4652398901766807,0.4652244037835141,20.028765691390277
400.0,113.141,19.459,3.664,5.926,1.6276679349541074,1.6275885843225997,1.6275885843225997,1.6276679349541074,2.7702382590822903,2.7698916434620955,2.7698916434620955,2.7702382590822903,1.7384257337254012,1.7382696973749674,1.7382696973749674,1.7384257337254012,0.4643689028734618,0.4644159924308979,0.4644159924308979,0.4643689028734618,20.00098497299009
400.0,113.145,49.876,2.848,2.626,1.627083796632001,1.6270036481722057,1.6270036481722057,1.627083796632001,2.7734549189560824,2.7731038476792094,2.7731038476792094,2.7734549189560824,1.7420678296686096,1.741929601462274,1.741929601462274,1.7420678296686096,0.4650561203138626,0.4650745312721564,0.4650745312721564,0.4650561203138626,20.020759568641605
400.0,113.198,30.129,5.6,4.011,1.6274491768614163,1.6273691917714297,1.6273691917714297,1.6274491768614163,2.771445323786633,2.7710948308891483,2.7710948308891483,2.771445323786633,1.7395792704806017,1.7394351247701283,1.7394351247701283,1.7395792704806017,0.4646312850363377,0.4646601873620667,0.4646601873620667,0.4646312850363377,20.0079172014241
400.0,113.394,97.461,3.888,3.316,1.6261207655737164,1.6260400201836562,1.6260400201836562,1.6261207655737164,2.7788694734596797,2.778515934079655,2.778515934079655,2.7788694734596797,1.7483357322823432,1.7481988619487197,1.7481988619487197,1.7483357322823432,0.466195617814159,0.4662081374880117,0.4662081374880117,0.466195617814159,20.05170334406672
400.0,113.429,16.412,5.965,5.983,1.6276581650945217,1.6275782106237533,1.6275782106237533,1.6276581650945217,2.7703426582000032,2.7699919082759408,2.7699919082759408,2.7703426582000032,1.738382939183246,1.7382182955815098,1.7382182955815098,1.738382939183246,0.4643871302043008,0.4644475247374438,0.4644475247374438,0.4643871302043008,19.99899277238945
400.0,113.818,27.798,3.087,4.28,1.6273451357173552,1.6272652020691631,1.6272652020691631,1.6273451357173552,2.772109927611896,2.771760101964736,2.771760101964736,2.772109927611896,1.7397035914398162,1.7395577104495543,1.7395577104495543,1.7397035914398162,0.4647774133287063,0.4648087299527402,0.4648087299527402,0.4647774133287063,20.006377547962888
