,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,short1:Output,short2:Output,short3:Output,short4:Output,open1:Output,open3:Output,open2:Output,open4:Output,OPEN,SHORT
104,104,104,1.15628,408.9469624477642,-11.85733954621722,-286.308958995944,0,0,0,0,0,0,0,0,0,0
105,105,105,1.1563,409.043895867206,-11.843765136016684,-285.53822848605006,0,0,0,0,0,0,0,0,0,0
106,106,106,1.15632,409.14020578190167,-11.80205879025106,-284.75622541580816,0,0,0,0,0,0,0,0,0,0
107,107,107,1.15634,409.2352920383934,-11.73186963650569,-283.9629806573747,0,0,0,0,0,0,0,0,0,0
108,108,108,1.15636,409.3285474296469,-11.632861959671631,-283.15852552668014,0,0,0,0,0,0,0,0,0,0
109,109,109,1.15638,409.4178629035615,-11.572935166243964,-282.3428917822503,0,0,0,0,0,0,0,0,0,0
110,110,110,1.1564,409.5047927085737,-11.551827125417848,-281.51611162390134,0,0,0,0,0,0,0,0,0,0
111,111,111,1.15642,409.5909374482136,-11.500986540711272,-280.6782176914831,0,0,0,0,0,0,0,0,0,0
112,112,112,1.15644,409.67383910332,-11.556600038779314,-279.82924306365135,0,0,0,0,0,0,0,0,0,0
113,113,113,1.15646,409.75811667747934,-11.513558576588665,-278.9692212564247,0,0,0,0,0,0,0,0,0,0
114,114,114,1.15648,409.84058278114736,-11.508052618808614,-278.0981862220302,0,0,0,0,0,0,0,0,0,0
115,115,115,1.1565,409.9225831897128,-11.471466100525667,-277.2161723474241,0,0,0,0,0,0,0,0,0,0
116,116,116,1.15652,410.00347416215226,-11.40345481107809,-276.32321445299584,0,0,0,0,0,0,0,0,0,0
117,117,117,1.15654,410.0826052730384,-11.303690411402876,-275.41934779121016,0,0,0,0,0,0,0,0,0,0
118,118,118,1.15656,410.157861093904,-11.240204162564307,-274.50460804515893,0,0,0,0,0,0,0,0,0,0
119,119,119,1.15658,410.2306964529346,-11.212736902700364,-273.57903132721754,0,0,0,0,0,0,0,0,0,0
120,120,120,1.1566,410.3013851107072,-11.220993295003233,-272.6426541775618,0,0,0,0,0,0,0,0,0,0
121,121,121,1.15662,410.3713311223432,-11.26467337516751,-271.6955135627496,0,0,0,0,0,0,0,0,0,0
122,122,122,1.15664,410.44234641138166,-11.206661776010804,-270.7376468742878,0,0,0,0,0,0,0,0,0,0
123,123,123,1.15666,410.5112808828948,-11.183397296921592,-269.7690919270957,0,0,0,0,0,0,0,0,0,0
124,124,124,1.15668,410.57938326797006,-11.1261658846739,-268.78988695808187,0,0,0,0,0,0,0,0,0,0
125,125,125,1.1566999999999998,410.64597137977216,-11.03464284756956,-267.80007062457304,0,0,0,0,0,0,0,0,0,0
126,126,126,1.15672,410.7103569610912,-10.908519900835833,-266.79968200281405,0,0,0,0,0,0,0,0,0,0
127,127,127,1.15674,410.76969054483055,-10.88440037304084,-265.7887605864529,0,0,0,0,0,0,0,0,0,0
128,128,128,1.15676,410.8276632147509,-10.893593320580504,-264.7673462849179,0,0,0,0,0,0,0,0,0,0
129,129,129,1.15678,410.88424963683457,-10.935786949181596,-263.7354794219151,0,0,0,0,0,0,0,0,0,0
130,130,130,1.1568,410.9412844573088,-10.942195183388543,-262.6932007337628,0,0,0,0,0,0,0,0,0,0
131,131,131,1.15682,410.9980702355626,-10.912473823465229,-261.6405513678579,0,0,0,0,0,0,0,0,0,0
132,132,132,1.15684,411.0539032795043,-10.846295034391346,-260.5775728809854,0,0,0,0,0,0,0,0,0,0
133,133,133,1.15686,411.1080739666255,-10.743347487455027,-259.50430723770614,0,0,0,0,0,0,0,0,0,0
134,134,134,1.15688,411.15986706762885,-10.6033364948969,-258.42079680872945,0,0,0,0,0,0,0,0,0,0
135,135,135,1.1569,411.2071884621304,-10.494503607711453,-257.32708436917216,0,0,0,0,0,0,0,0,0,0
136,136,136,1.15692,411.24969366054427,-10.553670390229533,-256.2232130969484,0,0,0,0,0,0,0,0,0,0
137,137,137,1.15694,411.2929369697552,-10.574980280316794,-255.10922657099616,0,0,0,0,0,0,0,0,0,0
138,138,138,1.15696,411.3362037604946,-10.558093770556036,-253.98516876958564,0,0,0,0,0,0,0,0,0,0
139,139,139,1.15698,411.3787734501254,-10.502687699131716,-252.85108406861465,0,0,0,0,0,0,0,0,0,0
140,140,140,1.157,411.4199198131784,-10.408455380806313,-251.70701723977427,0,0,0,0,0,0,0,0,0,0
141,141,141,1.15702,411.4589112941712,-10.275106731381,-250.55301344891592,0,0,0,0,0,0,0,0,0,0
142,142,142,1.1570399999999998,411.49367392817,-10.170936034703717,-249.38911825409173,0,0,0,0,0,0,0,0,0,0
143,143,143,1.15706,411.5245670881356,-10.164280966279136,-248.2153776038802,0,0,0,0,0,0,0,0,0,0
144,144,144,1.15708,411.5542432422007,-10.186302941162248,-247.0318378355949,0,0,0,0,0,0,0,0,0,0
145,145,145,1.1571,411.58394103719246,-10.168115616485652,-245.83854567332736,0,0,0,0,0,0,0,0,0,0
146,146,146,1.15712,411.6129266447383,-10.109406974520436,-244.63554822623047,0,0,0,0,0,0,0,0,0,0
147,147,147,1.15714,411.64046099091263,-10.009881344269678,-243.4228929865618,0,0,0,0,0,0,0,0,0,0
148,148,148,1.15716,411.6658000564127,-9.869259513934404,-242.20062782789583,0,0,0,0,0,0,0,0,0,0
149,149,149,1.15718,411.6858600230856,-9.824481537314435,-240.96880100315715,0,0,0,0,0,0,0,0,0,0
150,150,150,1.1572,411.7036012224451,-9.875321495938902,-239.72746114274835,0,0,0,0,0,0,0,0,0,0
151,151,151,1.15722,411.7218588023888,-9.884272134038872,-238.47665725266407,0,0,0,0,0,0,0,1,1,0
152,152,152,1.15724,411.7398936888444,-9.85102184438271,-237.21643871247755,0,0,0,0,0,0,0,1,1,0
153,153,153,1.15726,411.7569617527652,-9.775275052517626,-235.94685527348167,0,0,0,0,0,0,0,1,1,0
154,154,154,1.15728,411.772314094714,-9.656752321855656,-234.6679570566453,0,0,0,0,0,0,0,1,1,0
155,155,155,1.1573,411.7851973311343,-9.495190453160893,-233.3797945506688,0,0,0,0,0,0,0,1,1,0
156,156,156,1.15732,411.79219588594594,-9.496203722442385,-232.0824186100253,0,0,0,0,0,0,0,1,1,0
157,157,157,1.15734,411.79815352389136,-9.52231441782302,-230.775880452872,0,0,0,0,0,0,0,1,1,0
158,158,158,1.15736,411.8041776525724,-9.5046081514457,-229.4602316591218,0,0,0,0,0,0,0,1,1,0
159,159,159,1.15738,411.8095223188108,-9.44279426125276,-228.13552416832468,0,0,0,0,0,0,0,1,1,0
160,160,160,1.1574,411.8134370539863,-9.336597830971364,-226.80181027765195,0,0,0,0,0,0,0,1,1,0
161,161,161,1.15742,411.8151671436832,-9.185759781457426,-225.45914263986847,0,0,0,0,0,0,0,1,1,0
162,162,162,1.15744,411.81178664895685,-9.127283687710731,-224.10757426116925,0,0,0,0,0,0,0,1,1,0
163,163,163,1.15746,411.8060052202574,-9.160942650372382,-222.74715849918408,0,0,0,0,0,0,0,1,1,0
164,164,164,1.1574799999999998,411.80040248773446,-9.14920726939714,-221.37794906078565,0,0,0,0,0,0,0,1,1,0
165,165,165,1.1575,411.794233361732,-9.09179578658398,-220.00000000000568,0,0,0,0,0,0,0,1,1,0
166,166,166,1.15752,411.7867485502278,-8.988441743135015,-218.6133657159385,0,0,0,0,0,0,0,1,1,0
167,167,167,1.15754,411.7771948114134,-8.838894062139708,-217.21810095050628,0,0,0,0,0,0,0,1,1,0
168,168,168,1.15756,411.7627318134968,-8.780148528713825,-215.81426078639817,0,0,0,0,0,0,0,1,1,0
169,169,169,1.15758,411.7459465704152,-8.81197592268716,-214.40190064478188,0,0,0,0,0,0,0,1,1,0
170,170,170,1.1576,411.72929628178,-8.796870681999065,-212.9810762832685,0,0,0,0,0,0,0,1,1,0
171,171,171,1.15762,411.7120393283949,-8.734563212722195,-211.55184379355856,0,0,0,0,0,0,0,1,1,0
172,172,172,1.15764,411.6934302412566,-8.624798726581135,-210.11425959925148,0,0,0,0,0,0,0,1,1,0
173,173,173,1.15766,411.6727199368576,-8.467337314297481,-208.66838045377463,0,0,0,0,0,0,0,1,1,0
174,174,174,1.15768,411.6468092117115,-8.46774766204833,-207.2142634379219,0,0,0,0,0,0,0,1,1,0
175,175,175,1.1577,411.6199214620663,-8.48858769926085,-205.75196595776944,0,0,0,0,0,0,0,1,1,0
176,176,176,1.15772,411.59298933411134,-8.460996880969251,-204.28154574230484,0,0,0,0,0,0,0,1,1,0
177,177,177,1.15774,411.56527721409975,-8.384720373374506,-202.8030608411869,0,0,0,0,0,0,0,1,1,0
178,178,178,1.15776,411.5360460146502,-8.25951761374299,-201.316569622495,0,0,0,0,0,0,0,1,1,0
179,179,179,1.15778,411.5045533927452,-8.08516237467538,-199.82213077033003,0,0,0,0,0,0,0,1,1,0
180,180,180,1.1578,411.4678321316815,-8.067148946428599,-198.31980328260607,0,0,0,0,0,0,0,1,1,0
181,181,181,1.1578199999999998,411.42990088155193,-8.068096026911489,-196.80964646862645,0,0,0,0,0,0,0,1,1,0
182,182,182,1.15784,411.3916315180842,-8.01918756950523,-195.29171994678268,0,0,0,0,0,0,0,1,1,0
183,183,183,1.15786,411.3522973668579,-7.920185462716995,-193.76608364224208,0,0,0,0,0,0,0,1,1,0
184,184,184,1.15788,411.3111686655435,-7.770865289487152,-192.23279778448625,0,0,0,0,0,0,0,1,1,0
185,185,185,1.1579,411.2653742675458,-7.776622727507162,-190.69192290504296,0,0,0,0,0,0,0,1,1,0
186,186,186,1.1579199999999998,411.2187371568695,-7.800135392732305,-189.14351983500032,0,0,0,0,0,0,0,1,1,0
187,187,187,1.15794,411.17208583897497,-7.772624550802301,-187.58764970264613,0,0,0,0,0,0,0,1,1,0
188,188,188,1.15796,411.12470755810944,-7.693857205915453,-186.0243739310973,0,0,0,0,0,0,0,1,1,0
189,189,189,1.15798,411.0758866722573,-7.56361340663659,-184.45375423577624,0,0,0,0,0,0,0,1,1,0
190,190,190,1.158,411.02490483638655,-7.381686296101122,-182.8758526220876,0,0,0,0,0,0,0,1,1,0
191,191,191,1.15802,410.9684810115418,-7.421830260573416,-181.29073138285668,0,0,0,0,0,0,0,1,1,0
192,192,192,1.15804,410.91226192231767,-7.409839849078143,-179.69845309598463,0,0,0,0,0,0,0,1,1,0
193,193,193,1.15806,410.85555095971455,-7.345489395084774,-178.09908062187745,0,0,0,0,0,0,0,1,1,0
194,194,194,1.15808,410.7976488528686,-7.228565609711306,-176.49267710100727,0,0,0,0,0,0,0,1,1,0
195,195,195,1.1581,410.737853835364,-7.058867626525346,-174.87930595146355,0,0,0,0,0,0,0,1,1,0
196,196,196,1.15812,410.67300879259386,-7.109960111830839,-173.2590308663476,0,0,0,0,0,0,0,1,1,0
197,197,197,1.15814,410.6084952510958,-7.107829122398019,-171.6319158113747,0,0,0,0,0,0,0,1,1,0
198,198,198,1.15816,410.5436344140069,-7.052258147250428,-169.99802502224654,0,0,0,0,0,0,0,1,1,0
199,199,199,1.15818,410.47774506109687,-6.943042382091159,-168.35742300214403,0,0,0,0,0,0,0,1,1,0
