,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,short1:Output,short2:Output,short3:Output,short4:Output,open1:Output,open3:Output,open2:Output,open4:Output,OPEN,SHORT
0,0,0,1.1709854583013344,392.4127668621583,-3.8419890833359616,-94.2824494022531,0,0,0,0,0,0,0,0,0,0
1,1,1,1.171,392.29222687649394,-3.9413557584123846,-96.1435253787506,0,0,0,0,0,0,0,0,0,0
2,2,2,1.17102,392.173011564508,-4.038243269039105,-98.0008057734734,0,0,0,0,0,0,0,0,0,0
3,3,3,1.17104,392.0553402236226,-4.067212877788983,-99.85421726418856,0,0,0,0,0,0,0,0,0,0
4,4,4,1.17106,391.9381738515869,-4.158861179463012,-101.70368668140073,0,0,0,0,0,0,0,0,0,0
5,5,5,1.17108,391.82259967854,-4.247736589306662,-103.54914101119056,0,0,0,0,0,0,0,0,0,0
6,6,6,1.1711,391.70836556788527,-4.33372645882246,-105.39050739821448,0,0,0,0,0,0,0,0,0,0
7,7,7,1.17112,391.59570307758,-4.3514568130189,-107.22771314844712,0,0,0,0,0,0,0,0,0,0
8,8,8,1.1711399999999998,391.4834860735373,-4.4313575356149215,-109.06068573216794,0,0,0,0,0,0,0,0,0,0
9,9,9,1.17116,391.3728696806045,-4.508043108368512,-110.88935278677444,0,0,0,0,0,0,0,0,0,0
10,10,10,1.17118,391.2635739660798,-4.581388431587539,-112.71364211958937,0,0,0,0,0,0,0,0,0,0
11,11,11,1.1712,391.1552104211903,-4.7164606810772085,-114.53348171082656,0,0,0,0,0,0,0,0,0,0
12,12,12,1.17122,391.0489734190921,-4.78274126649756,-116.34879971630208,0,0,0,0,0,0,0,0,0,0
13,13,13,1.1712399999999998,390.9443251241004,-4.845306394160065,-118.1595244703859,0,0,0,0,0,0,0,0,0,0
14,14,14,1.17126,390.8409563426016,-4.904018484547446,-119.9655844887815,0,0,0,0,0,0,0,0,0,0
15,15,15,1.17128,390.7384446907543,-5.023862978056273,-121.76690847129916,0,0,0,0,0,0,0,0,0,0
16,16,16,1.1713,390.6380612421556,-5.074449976568928,-123.56342530478496,0,0,0,0,0,0,0,0,0,0
17,17,17,1.17132,390.5392084108981,-5.120772886402896,-125.35506406579796,0,0,0,0,0,0,0,0,0,0
18,18,18,1.17134,390.44154623244754,-5.16268233036611,-127.1417540235401,0,0,0,0,0,0,0,0,0,0
19,19,19,1.17136,390.3446268920927,-5.265086686182504,-128.92342464251877,0,0,0,0,0,0,0,0,0,0
20,20,20,1.17138,390.2495750379817,-5.36275657365679,-130.7000055854449,0,0,0,0,0,0,0,0,0,0
21,21,21,1.1714,390.15604204845584,-5.455531482838165,-132.47142671596075,0,0,0,0,0,0,0,0,0,0
22,22,22,1.17142,390.0649986571504,-5.478253378440568,-134.2376181013613,0,0,0,0,0,0,0,0,0,0
23,23,23,1.17144,389.9745378683145,-5.560777824484401,-135.9985100154668,0,0,0,0,0,0,0,0,0,0
24,24,24,1.17146,389.8852744467756,-5.702903789104611,-137.7540329412477,0,0,0,0,0,0,0,0,0,0
