,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,short1:Output,short2:Output,short3:Output,short4:Output,open1:Output,open3:Output,open2:Output,open4:Output,OPEN,SHORT
0,0,0,1.158171876241948,410.5436344140069,-7.052258147250428,-169.99802502224654,0,0,0,0,0,0,0,0,0,0
1,1,1,1.15818,410.47774506109687,-6.943042382091159,-168.35742300214403,0,0,0,0,0,0,0,0,0,0
2,2,2,1.1582,410.41014369890615,-6.77998876878648,-166.71017451930007,0,0,0,0,0,0,0,0,0,0
3,3,3,1.15822,410.3380487857848,-6.768062551758261,-165.05634460417485,0,0,0,0,0,0,0,0,0,0
4,4,4,1.15824,410.265228016934,-6.77025584162103,-163.39599854721632,0,0,0,0,0,0,0,0,0,0
5,5,5,1.1582599999999998,410.192126427178,-6.717973546610318,-161.72920189601396,0,0,0,0,0,0,0,0,0,0
6,6,6,1.15828,410.1180827264042,-6.611020807806173,-160.05602045283035,0,0,0,0,0,0,0,0,0,0
7,7,7,1.1583,410.04243358069175,-6.449213832750074,-158.37652027203427,0,0,0,0,0,0,0,0,0,0
8,8,8,1.15832,409.9630088044272,-6.369018441261038,-156.69076765738663,0,0,0,0,0,0,0,0,0,0
9,9,9,1.15834,409.8816168207232,-6.3702076254252304,-154.99882915954473,0,0,0,0,0,0,0,0,0,0
10,10,10,1.15836,409.79994490993806,-6.315934123219372,-153.30077157331277,0,0,0,0,0,0,0,0,0,0
11,11,11,1.15838,409.7173535508276,-6.206014156757131,-151.59666193512743,0,0,0,0,0,0,0,0,0,0
12,12,12,1.1584,409.6332014084986,-6.040274335813631,-149.886567520304,0,0,0,0,0,0,0,0,0,0
13,13,13,1.15842,409.54498523708,-6.023304845954629,-148.1705558404263,0,0,0,0,0,0,0,0,0,0
14,14,14,1.15844,409.45607394494976,-6.018361411533202,-146.44869464072818,0,0,0,0,0,0,0,0,0,0
15,15,15,1.15846,409.366829279684,-5.95700133348378,-144.7210518973104,0,0,0,0,0,0,0,0,0,0
16,16,16,1.15848,409.276635065262,-5.839052779362331,-142.98769581458143,0,0,0,0,0,0,0,0,0,0
17,17,17,1.1585,409.1840761659007,-5.732542459768003,-141.24869482245597,0,0,0,0,0,0,0,0,0,0
18,18,18,1.15852,409.0896686819056,-5.6372815501109175,-139.50411757369957,0,0,0,0,0,0,0,0,0,0
19,19,19,1.15854,408.9932317366288,-5.621233938976956,-137.75403294126653,0,0,0,0,0,0,0,0,0,0
20,20,20,1.15856,408.8963650208633,-5.547863894274208,-135.9985100154698,0,0,0,0,0,0,0,0,0,0
21,21,21,1.15858,408.79847736826815,-5.417012141661084,-134.2376181013803,0,0,0,0,0,0,0,0,0,0
22,22,22,1.1586,408.6978243810535,-5.364749216859201,-132.47142671597982,0,0,0,0,0,0,0,0,0,0
23,23,23,1.15862,408.5958733502955,-5.322749073924985,-130.70000558546397,0,0,0,0,0,0,0,0,0,0
24,24,24,1.15864,408.49306751252607,-5.2908186498247405,-128.92342464253792,0,0,0,0,0,0,0,0,0,0
25,25,25,1.15866,408.38970292414416,-5.200696630969551,-127.14175402354316,0,0,0,0,0,0,0,0,0,0
26,26,26,1.15868,408.28521488805416,-5.052236710395462,-125.35506406581722,0,0,0,0,0,0,0,0,0,0
27,27,27,1.1586999999999998,408.17796522090015,-4.981349489366321,-123.56342530480428,0,0,0,0,0,0,0,0,0,0
28,28,28,1.15872,408.06915898010624,-4.987811619606861,-121.7669084713185,0,0,0,0,0,0,0,0,0,0
29,29,29,1.15874,407.9601788526329,-4.935403272477065,-119.96558448880091,0,0,0,0,0,0,0,0,0,0
30,30,30,1.15876,407.85048915645285,-4.823983563490302,-118.159524470389,0,0,0,0,0,0,0,0,0,0
31,31,31,1.15878,407.73888852712986,-4.721368782196783,-116.3487997163216,0,0,0,0,0,0,0,0,0,0
32,32,32,1.1588,407.625785144402,-4.627387845057712,-114.53348171081323,0,0,0,0,0,0,0,0,0,0
33,33,33,1.15882,407.51103999145766,-4.609779691707868,-112.71364211959248,0,0,0,0,0,0,0,0,0,0
34,34,34,1.15884,407.3959293313724,-4.53251939574794,-110.88935278677756,0,0,0,0,0,0,0,0,0,0
35,35,35,1.15886,407.2793155360399,-4.463353109412675,-109.06068573217108,0,0,0,0,0,0,0,0,0,0
36,36,36,1.15888,407.16156701537926,-4.4021127100034345,-107.22771314845023,0,0,0,0,0,0,0,0,0,0
37,37,37,1.1589,407.04311303497127,-4.28078715111966,-105.39050739820097,0,0,0,0,0,0,0,0,0,0
38,38,38,1.15892,406.9230653152513,-4.1670767692525175,-103.54914101119373,0,0,0,0,0,0,0,0,0,0
39,39,39,1.15894,406.80119483287206,-4.128613067291475,-101.70368668140388,0,0,0,0,0,0,0,0,0,0
40,40,40,1.15896,406.6785087196511,-4.097398939701671,-99.85421726419176,0,0,0,0,0,0,0,0,0,0
41,41,41,1.15898,406.55539938954166,-4.005509072125861,-98.0008057734766,0,0,0,0,0,0,0,0,0,0
42,42,42,1.159,406.4314069989517,-3.8528339061579295,-96.14352537873695,0,0,0,0,0,0,0,0,0,0
43,43,43,1.15902,406.3050650370329,-3.842414144278516,-94.28244940225626,0,0,0,0,0,0,0,0,0,0
44,44,44,1.1590399999999998,406.17816379549487,-3.838591097663703,-92.41765131611062,0,0,0,0,0,0,0,0,0,0
45,45,45,1.15906,406.0510670094092,-3.7735292594639582,-90.54920473931848,0,0,0,0,0,0,0,0,0,0
46,46,46,1.15908,405.92334765380826,-3.6471271090473545,-88.67718343498525,0,0,0,0,0,0,0,0,0,0
47,47,47,1.1591,405.7940741451383,-3.526915884186076,-86.80166130727265,0,0,0,0,0,0,0,0,0,0
48,48,48,1.15912,405.6630983340976,-3.5479693923487328,-84.92271239861692,0,0,0,0,0,0,0,0,0,0
