,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1:Output,open3:Output,open2:Output,open4:Output,short1:Output,short2:Output,short3:Output,short4:Output,OPEN,SHORT
0,0,0,1.0975397815461745,411.6506579146892,-8.985366639378329,-218.6133657159241,0,0,0,0,0,0,0,0,0,0
1,1,1,1.09754,411.64112544744296,-8.838268741713026,-217.2181009505045,0,0,0,0,0,0,0,0,0,0
2,2,2,1.09756,411.6275269494727,-8.781930449115409,-215.81426078639643,0,0,0,0,0,0,0,0,0,0
3,3,3,1.09758,411.6108394388584,-8.816100127301233,-214.40190064479293,0,0,0,0,0,0,0,0,0,0
4,4,4,1.0976,411.594323729442,-8.803334782800954,-212.9810762832797,0,0,0,0,0,0,0,0,0,0
5,5,5,1.09762,411.5772381454249,-8.743364183919454,-211.55184379354367,0,0,0,0,0,0,0,0,0,0
6,6,6,1.09764,411.5588371511853,-8.635932905783605,-210.1142595992627,0,0,0,0,0,0,0,0,0,0
7,7,7,1.09766,411.53837158660014,-8.480800403860275,-208.668380453786,0,0,0,0,0,0,0,0,0,0
8,8,8,1.09768,411.512735001052,-8.483467615092753,-207.21426343793328,0,0,0,0,0,0,0,0,0,0
9,9,9,1.0977,411.4867779950428,-8.437964409939372,-205.75196595778087,0,0,0,0,0,0,0,0,0,0
10,10,10,1.09772,411.45914631791646,-8.412606777132176,-204.281545742303,0,0,0,0,0,0,0,0,0,0
11,11,11,1.09774,411.430768827463,-8.33857445644093,-202.8030608411985,0,0,0,0,0,0,0,0,0,0
12,12,12,1.0977599999999998,411.40090658567937,-8.215626312443796,-201.31656962250665,0,0,0,0,0,0,0,0,0,0
13,13,13,1.09778,411.36798006164446,-8.112087532942537,-199.8221307703417,0,0,0,0,0,0,0,0,0,0
14,14,14,1.0978,411.3322245642259,-8.0962774873855,-198.3198032826178,0,0,0,0,0,0,0,0,0,0
15,15,15,1.09782,411.294784000072,-8.099385168267133,-196.80964646861088,0,0,0,0,0,0,0,0,0,0
16,16,16,1.09784,411.2570364966999,-8.052628836936371,-195.2917199467808,0,0,0,0,0,0,0,0,0,0
17,17,17,1.09786,411.2182552410314,-7.9557698857262364,-193.7660836422264,0,0,0,0,0,0,0,0,0,0
18,18,18,1.09788,411.17771032493584,-7.808583403764451,-192.23279778448432,0,0,0,0,0,0,0,0,0,0
19,19,19,1.0979,411.1335734228642,-7.747887307862262,-190.69192290504105,0,0,0,0,0,0,0,0,0,0
20,20,20,1.09792,411.0865998797606,-7.7734285243172465,-189.14351983498432,0,0,0,0,0,0,0,0,0,0
21,21,21,1.09794,411.0396405606705,-7.747950808783942,-187.58764970264417,0,0,0,0,0,0,0,0,0,0
22,22,22,1.09796,410.99198275978966,-7.671220728340303,-186.0243739310812,0,0,0,0,0,0,0,0,0,0
23,23,23,1.09798,410.94291087893816,-7.543017893790446,-184.45375423577423,0,0,0,0,0,0,0,0,0,0
24,24,24,1.098,410.890948938321,-7.431608554349195,-182.8758526220856,0,0,0,0,0,0,0,0,0,0
25,25,25,1.09802,410.8352543587763,-7.4737023874229855,-181.29073138285472,0,0,0,0,0,0,0,0,0,0
26,26,26,1.09804,410.77979015745376,-7.463650597762358,-179.6984530959826,0,0,0,0,0,0,0,0,0,0
27,27,27,1.09806,410.7238595632268,-7.401227146062498,-178.09908062186094,0,0,0,0,0,0,0,0,0,0
28,28,28,1.09808,410.6667631382118,-7.286218373150387,-176.49267710100526,0,0,0,0,0,0,0,0,0,0
29,29,29,1.0981,410.6077989441199,-7.118423044856643,-174.87930595146156,0,0,0,0,0,0,0,0,0,0
30,30,30,1.09812,410.54406524663926,-7.1029004834647775,-173.25903086634557,0,0,0,0,0,0,0,0,0,0
31,31,31,1.09814,410.4795222005662,-7.10257612670044,-171.63191581137266,0,0,0,0,0,0,0,0,0,0
32,32,32,1.09816,410.4146548589577,-7.048811686995375,-169.99802502222968,0,0,0,0,0,0,0,0,0,0
33,33,33,1.09818,410.3487819895889,-6.9414020381810895,-168.35742300215685,0,0,0,0,0,0,0,0,0,0
34,34,34,1.0981999999999998,410.2812200829142,-6.780153800511059,-166.71017451929805,0,0,0,0,0,0,0,0,0,0
35,35,35,1.09822,410.20969931030703,-6.701605163377116,-165.0563446041878,0,0,0,0,0,0,0,0,0,0
36,36,36,1.09824,410.1361322281125,-6.705527896710642,-163.3959985472293,0,0,0,0,0,0,0,0,0,0
37,37,37,1.09826,410.0623056242697,-6.654984507295813,-161.72920189601186,0,0,0,0,0,0,0,0,0,0
38,38,38,1.09828,409.98755831353554,-6.549779849655922,-160.05602045284346,0,0,0,0,0,0,0,0,0,0
39,39,39,1.0983,409.911227063338,-6.389729843458197,-158.37652027203214,0,0,0,0,0,0,0,0,0,0
40,40,40,1.09832,409.83067619747214,-6.379556014060496,-156.69076765739982,0,0,0,0,0,0,0,0,0,0
41,41,41,1.09834,409.7494652813092,-6.382417933464697,-154.99882915955794,0,0,0,0,0,0,0,0,0,0
42,42,42,1.09836,409.6679936119912,-6.329814406084044,-153.30077157332602,0,0,0,0,0,0,0,0,0,0
43,43,43,1.09838,409.5856216278392,-6.221561412011255,-151.59666193514073,0,0,0,0,0,0,0,0,0,0
44,44,44,1.0984,409.5017079507565,-6.05748531958016,-149.88656752028638,0,0,0,0,0,0,0,0,0,0
45,45,45,1.09842,409.4137407261493,-6.0421103581198174,-148.17055584042416,0,0,0,0,0,0,0,0,0,0
46,46,46,1.09844,409.32509281204347,-6.038736114660964,-146.44869464074162,0,0,0,0,0,0,0,0,0,0
47,47,47,1.09846,409.236128520836,-5.978941630636697,-144.72105189730823,0,0,0,0,0,0,0,0,0,0
48,48,48,1.09848,409.14623162973095,-5.862554870718116,-142.98769581457927,0,0,0,0,0,0,0,0,0,0
49,49,49,1.0985,409.0547843261037,-5.689413516807625,-141.248694822438,0,0,0,0,0,0,0,0,0,0
50,50,50,1.09852,408.95941845681335,-5.66382685733894,-139.5041175736974,0,0,0,0,0,0,0,0,0,0
51,51,51,1.0985399999999998,408.86331185139966,-5.649247555461702,-137.75403294126434,0,0,0,0,0,0,0,0,0,0
52,52,52,1.09856,408.76679045432974,-5.577341668665396,-135.99851001546762,0,0,0,0,0,0,0,0,0,0
53,53,53,1.09858,408.6692630499591,-5.447949754058013,-134.2376181013781,0,0,0,0,0,0,0,0,0,0
