,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,short1:Output,short2:Output,short3:Output,short4:Output,open1:Output,open3:Output,open2:Output,open4:Output,OPEN,SHORT
0,0,0,1.1559759694167644,407.2220711024999,-12.342110922308532,-297.08412567018223,0,0,0,0,0,0,0,0,0,0
1,1,1,1.15598,407.3408574275672,-12.323562950063764,-296.49758807570544,0,0,0,0,0,0,0,0,0,0
2,2,2,1.156,407.45893855616646,-12.282388321151426,-295.8993452641419,0,0,0,0,0,0,0,0,0,0
3,3,3,1.15602,407.575810258481,-12.218222584845376,-295.2894208530828,0,0,0,0,0,0,0,0,0,0
4,4,4,1.15604,407.6909605806175,-12.130714481736982,-294.6678389213103,0,0,0,0,0,0,0,0,0,0
5,5,5,1.15606,407.8025229588024,-12.08747741146112,-294.03462400780955,0,0,0,0,0,0,0,0,0,0
6,6,6,1.15608,407.9122241655474,-12.088231636453584,-293.38980111081503,0,0,0,0,0,0,0,0,0,0
7,7,7,1.1561,408.0216347742153,-12.064669266895002,-292.7333956868424,0,0,0,0,0,0,0,0,0,0
8,8,8,1.15612,408.1302203743482,-12.016420306869325,-292.0654336496418,0,0,0,0,0,0,0,0,0,0
9,9,9,1.15614,408.2374388372376,-11.943128584828385,-291.385941369223,0,0,0,0,0,0,0,0,0,0
10,10,10,1.15616,408.3404016054986,-11.98053352133936,-290.6949456707717,0,0,0,0,0,0,0,0,0,0
11,11,11,1.15618,408.4438540411576,-11.99226783317271,-289.99247383360847,0,0,0,0,0,0,0,0,0,0
12,12,12,1.1562,408.5472395854944,-11.977946924081149,-289.27855359013125,0,0,0,0,0,0,0,0,0,0
13,13,13,1.15622,408.64999377025936,-11.937200432354024,-288.55321312467606,0,0,0,0,0,0,0,0,0,0
14,14,14,1.15624,408.75154452900193,-11.869672427995,-287.8164810724556,0,0,0,0,0,0,0,0,0,0
15,15,15,1.1562599999999998,408.84999830111497,-11.843147868914826,-287.06838651838314,0,0,0,0,0,0,0,0,0,0
16,16,16,1.15628,408.9469624477642,-11.85733954621722,-286.308958995944,0,0,0,0,0,0,0,0,0,0
17,17,17,1.1563,409.043895867206,-11.843765136016684,-285.53822848605006,0,0,0,0,0,0,0,0,0,0
18,18,18,1.15632,409.14020578190167,-11.80205879025106,-284.75622541580816,0,0,0,0,0,0,0,0,0,0
19,19,19,1.15634,409.2352920383934,-11.73186963650569,-283.9629806573747,0,0,0,0,0,0,0,0,0,0
20,20,20,1.15636,409.3285474296469,-11.632861959671631,-283.15852552668014,0,0,0,0,0,0,0,0,0,0
21,21,21,1.15638,409.4178629035615,-11.572935166243964,-282.3428917822503,0,0,0,0,0,0,0,0,0,0
22,22,22,1.1564,409.5047927085737,-11.551827125417848,-281.51611162390134,0,0,0,0,0,0,0,0,0,0
23,23,23,1.15642,409.5909374482136,-11.500986540711272,-280.6782176914831,0,0,0,0,0,0,0,0,0,0
24,24,24,1.15644,409.67383910332,-11.556600038779314,-279.82924306365135,0,0,0,0,0,0,0,0,0,0
25,25,25,1.15646,409.75811667747934,-11.513558576588665,-278.9692212564247,0,0,0,0,0,0,0,0,0,0
26,26,26,1.15648,409.84058278114736,-11.508052618808614,-278.0981862220302,0,0,0,0,0,0,0,0,0,0
27,27,27,1.1565,409.9225831897128,-11.471466100525667,-277.2161723474241,0,0,0,0,0,0,0,0,0,0
28,28,28,1.15652,410.00347416215226,-11.40345481107809,-276.32321445299584,0,0,0,0,0,0,0,0,0,0
29,29,29,1.15654,410.0826052730384,-11.303690411402876,-275.41934779121016,0,0,0,0,0,0,0,0,0,0
30,30,30,1.15656,410.157861093904,-11.240204162564307,-274.50460804515893,0,0,0,0,0,0,0,0,0,0
31,31,31,1.15658,410.2306964529346,-11.212736902700364,-273.57903132721754,0,0,0,0,0,0,0,0,0,0
32,32,32,1.1566,410.3013851107072,-11.220993295003233,-272.6426541775618,0,0,0,0,0,0,0,0,0,0
33,33,33,1.15662,410.3713311223432,-11.26467337516751,-271.6955135627496,0,0,0,0,0,0,0,0,0,0
34,34,34,1.15664,410.44234641138166,-11.206661776010804,-270.7376468742878,0,0,0,0,0,0,0,0,0,0
35,35,35,1.15666,410.5112808828948,-11.183397296921592,-269.7690919270957,0,0,0,0,0,0,0,0,0,0
36,36,36,1.15668,410.57938326797006,-11.1261658846739,-268.78988695808187,0,0,0,0,0,0,0,0,0,0
37,37,37,1.1566999999999998,410.64597137977216,-11.03464284756956,-267.80007062457304,0,0,0,0,0,0,0,0,0,0
38,38,38,1.15672,410.7103569610912,-10.908519900835833,-266.79968200281405,0,0,0,0,0,0,0,0,0,0
39,39,39,1.15674,410.76969054483055,-10.88440037304084,-265.7887605864529,0,0,0,0,0,0,0,0,0,0
40,40,40,1.15676,410.8276632147509,-10.893593320580504,-264.7673462849179,0,0,0,0,0,0,0,0,0,0
41,41,41,1.15678,410.88424963683457,-10.935786949181596,-263.7354794219151,0,0,0,0,0,0,0,0,0,0
42,42,42,1.1568,410.9412844573088,-10.942195183388543,-262.6932007337628,0,0,0,0,0,0,0,0,0,0
43,43,43,1.15682,410.9980702355626,-10.912473823465229,-261.6405513678579,0,0,0,0,0,0,0,0,0,0
44,44,44,1.15684,411.0539032795043,-10.846295034391346,-260.5775728809854,0,0,0,0,0,0,0,0,0,0
45,45,45,1.15686,411.1080739666255,-10.743347487455027,-259.50430723770614,0,0,0,0,0,0,0,0,0,0
46,46,46,1.15688,411.15986706762885,-10.6033364948969,-258.42079680872945,0,0,0,0,0,0,0,0,0,0
47,47,47,1.1569,411.2071884621304,-10.494503607711453,-257.32708436917216,0,0,0,0,0,0,0,0,0,0
48,48,48,1.15692,411.24969366054427,-10.553670390229533,-256.2232130969484,0,0,0,0,0,0,0,0,0,0
49,49,49,1.15694,411.2929369697552,-10.574980280316794,-255.10922657099616,0,0,0,0,0,0,0,0,0,0
50,50,50,1.15696,411.3362037604946,-10.558093770556036,-253.98516876958564,0,0,0,0,0,0,0,0,0,0
51,51,51,1.15698,411.3787734501254,-10.502687699131716,-252.85108406861465,0,0,0,0,0,0,0,0,0,0
52,52,52,1.157,411.4199198131784,-10.408455380806313,-251.70701723977427,0,0,0,0,0,0,0,0,0,0
53,53,53,1.15702,411.4589112941712,-10.275106731381,-250.55301344891592,0,0,0,0,0,0,0,0,0,0
54,54,54,1.1570399999999998,411.49367392817,-10.170936034703717,-249.38911825409173,0,0,0,0,0,0,0,0,0,0
55,55,55,1.15706,411.5245670881356,-10.164280966279136,-248.2153776038802,0,0,0,0,0,0,0,0,0,0
56,56,56,1.15708,411.5542432422007,-10.186302941162248,-247.0318378355949,0,0,0,0,0,0,0,0,0,0
57,57,57,1.1571,411.58394103719246,-10.168115616485652,-245.83854567332736,0,0,0,0,0,0,0,0,0,0
58,58,58,1.15712,411.6129266447383,-10.109406974520436,-244.63554822623047,0,0,0,0,0,0,0,0,0,0
59,59,59,1.15714,411.64046099091263,-10.009881344269678,-243.4228929865618,0,0,0,0,0,0,0,0,0,0
60,60,60,1.15716,411.6658000564127,-9.869259513934404,-242.20062782789583,0,0,0,0,0,0,0,0,0,0
61,61,61,1.15718,411.6858600230856,-9.824481537314435,-240.96880100315715,0,0,0,0,0,0,0,0,0,0
62,62,62,1.1572,411.7036012224451,-9.875321495938902,-239.72746114274835,0,0,0,0,0,0,0,0,0,0
63,63,63,1.15722,411.7218588023888,-9.884272134038872,-238.47665725266407,0,0,0,0,0,0,0,0,0,0
64,64,64,1.15724,411.7398936888444,-9.85102184438271,-237.21643871247755,0,0,0,0,0,0,0,0,0,0
65,65,65,1.15726,411.7569617527652,-9.775275052517626,-235.94685527348167,0,0,0,0,0,0,0,0,0,0
66,66,66,1.15728,411.772314094714,-9.656752321855656,-234.6679570566453,0,0,0,0,0,0,0,0,0,0
67,67,67,1.1573,411.7851973311343,-9.495190453160893,-233.3797945506688,0,0,0,0,0,0,0,0,0,0
68,68,68,1.15732,411.79219588594594,-9.496203722442385,-232.0824186100253,0,0,0,0,0,0,0,0,0,0
69,69,69,1.15734,411.79815352389136,-9.52231441782302,-230.775880452872,0,0,0,0,0,0,0,0,0,0
70,70,70,1.15736,411.8041776525724,-9.5046081514457,-229.4602316591218,0,0,0,0,0,0,0,0,0,0
71,71,71,1.15738,411.8095223188108,-9.44279426125276,-228.13552416832468,0,0,0,0,0,0,0,0,0,0
72,72,72,1.1574,411.8134370539863,-9.336597830971364,-226.80181027765195,0,0,0,0,0,0,0,0,0,0
73,73,73,1.15742,411.8151671436832,-9.185759781457426,-225.45914263986847,0,0,0,0,0,0,0,0,0,0
74,74,74,1.15744,411.81178664895685,-9.127283687710731,-224.10757426116925,0,0,0,0,0,0,0,0,0,0
75,75,75,1.15746,411.8060052202574,-9.160942650372382,-222.74715849918408,0,0,0,0,0,0,0,0,0,0
76,76,76,1.1574799999999998,411.80040248773446,-9.14920726939714,-221.37794906078565,0,0,0,0,0,0,0,0,0,0
77,77,77,1.1575,411.794233361732,-9.09179578658398,-220.00000000000568,0,0,0,0,0,0,0,0,0,0
78,78,78,1.15752,411.7867485502278,-8.988441743135015,-218.6133657159385,0,0,0,0,0,0,0,0,0,0
79,79,79,1.15754,411.7771948114134,-8.838894062139708,-217.21810095050628,0,0,0,0,0,0,0,0,0,0
80,80,80,1.15756,411.7627318134968,-8.780148528713825,-215.81426078639817,0,0,0,0,0,0,0,0,0,0
81,81,81,1.15758,411.7459465704152,-8.81197592268716,-214.40190064478188,0,0,0,0,0,0,0,0,0,0
82,82,82,1.1576,411.72929628178,-8.796870681999065,-212.9810762832685,0,0,0,0,0,0,0,0,0,0
83,83,83,1.15762,411.7120393283949,-8.734563212722195,-211.55184379355856,0,0,0,0,0,0,0,0,0,0
84,84,84,1.15764,411.6934302412566,-8.624798726581135,-210.11425959925148,0,0,0,0,0,0,0,0,0,0
85,85,85,1.15766,411.6727199368576,-8.467337314297481,-208.66838045377463,0,0,0,0,0,0,0,0,0,0
86,86,86,1.15768,411.6468092117115,-8.46774766204833,-207.2142634379219,0,0,0,0,0,0,0,0,0,0
87,87,87,1.1577,411.6199214620663,-8.48858769926085,-205.75196595776944,0,0,0,0,0,0,0,0,0,0
88,88,88,1.15772,411.59298933411134,-8.460996880969251,-204.28154574230484,0,0,0,0,0,0,0,0,0,0
89,89,89,1.15774,411.56527721409975,-8.384720373374506,-202.8030608411869,0,0,0,0,0,0,0,0,0,0
90,90,90,1.15776,411.5360460146502,-8.25951761374299,-201.316569622495,0,0,0,0,0,0,0,0,0,0
91,91,91,1.15778,411.5045533927452,-8.08516237467538,-199.82213077033003,0,0,0,0,0,0,0,0,0,0
92,92,92,1.1578,411.4678321316815,-8.067148946428599,-198.31980328260607,0,0,0,0,0,0,0,0,0,0
93,93,93,1.1578199999999998,411.42990088155193,-8.068096026911489,-196.80964646862645,0,0,0,0,0,0,0,0,0,0
